Quantile	OR	CI.U	CI.L	Group	N
[0,1]	0.44105691057043	0.703026759733986	0.276705254342722	0	165
(1,2]	0.556752873563839	0.875208628558036	0.354171282260202	0	166
(2,3]	0.616741741741969	0.966442579321261	0.393577832915903	0	164
(3,4]	0.669753086419827	1.04609193608714	0.428804755389607	0	164
(4,5]	1	1	1	0	165
(5,6]	1.09074074074073	1.68257522523226	0.707080043537078	0	166
(6,7]	1.80453431372547	2.79552054193512	1.16484355616952	0	163
(7,8]	1.66840277777777	2.5779203658	1.07977262052964	0	165
(8,9]	1.86151960784312	2.87971861307675	1.20333119862779	0	166
(9,10]	2.70518867924423	4.23906693478399	1.72633409731334	0	164
